     anio              lenguaje  toxicity  severe_toxicity   obscene  identity_attack    insult    threat
131  2007               English  0.000712         0.000125  0.000203         0.000148  0.000183  0.000141
132  2007             Esperanto  0.000618         0.000123  0.000176         0.000145  0.000175  0.000133
133  2007               Finnish  0.000649         0.000123  0.000179         0.000145  0.000177  0.000133
134  2007                French  0.000598         0.000126  0.000175         0.000146  0.000177  0.000136
135  2007              Galician  0.000612         0.000123  0.000176         0.000145  0.000176  0.000132
136  2007                German  0.000650         0.000121  0.000174         0.000145  0.000176  0.000133
137  2007             Hungarian  0.000785         0.000113  0.000207         0.000139  0.000171  0.000116
138  2007             Icelandic  0.000592         0.000127  0.000177         0.000146  0.000177  0.000136
139  2007               Italian  0.000607         0.000124  0.000175         0.000145  0.000176  0.000134
140  2007                 Latin  0.000627         0.000122  0.000174         0.000144  0.000176  0.000134
141  2007                 Maori  0.000621         0.000123  0.000174         0.000143  0.000177  0.000135
142  2007        Middle English  0.000595         0.000127  0.000174         0.000148  0.000178  0.000139
143  2007               Nahuatl  0.000991         0.000112  0.000216         0.000151  0.000181  0.000131
144  2007             Norwegian  0.000694         0.000118  0.000181         0.000143  0.000175  0.000130
145  2007            Portuguese  0.000615         0.000124  0.000175         0.000145  0.000176  0.000134
146  2007               Spanish  0.000599         0.000125  0.000176         0.000146  0.000176  0.000135
147  2007               Swedish  0.000646         0.000120  0.000176         0.000143  0.000176  0.000131
148  2007               Tagalog  0.000578         0.000126  0.000176         0.000146  0.000177  0.000133
149  2007                 Welsh  0.000724         0.000117  0.000177         0.000143  0.000175  0.000132
150  2008               Catalan  0.000600         0.000125  0.000175         0.000146  0.000176  0.000134
151  2008               Chinese  0.000619         0.000123  0.000176         0.000144  0.000176  0.000134
152  2008                 Czech  0.001037         0.000112  0.000215         0.000151  0.000181  0.000128
153  2008                Danish  0.000618         0.000122  0.000176         0.000144  0.000176  0.000131
154  2008                 Dutch  0.000641         0.000122  0.000175         0.000145  0.000177  0.000133
155  2008               English  0.000654         0.000126  0.000195         0.000148  0.000180  0.000136
156  2008             Esperanto  0.000608         0.000124  0.000175         0.000145  0.000175  0.000133
157  2008               Finnish  0.000636         0.000122  0.000176         0.000145  0.000176  0.000134
158  2008                French  0.000605         0.000125  0.000175         0.000146  0.000177  0.000136
159  2008              Friulian  0.000693         0.000114  0.000174         0.000140  0.000173  0.000122
160  2008                German  0.000671         0.000120  0.000174         0.000145  0.000177  0.000132
161  2008                 Greek  0.000574         0.000129  0.000181         0.000145  0.000177  0.000139
162  2008             Hungarian  0.000670         0.000119  0.000175         0.000146  0.000175  0.000132
163  2008             Inuktitut  0.000713         0.000119  0.000180         0.000145  0.000176  0.000138
164  2008               Italian  0.000616         0.000123  0.000175         0.000145  0.000176  0.000133
165  2008                 Latin  0.000647         0.000121  0.000176         0.000144  0.000176  0.000132
166  2008                Polish  0.000606         0.000124  0.000177         0.000144  0.000176  0.000132
167  2008            Portuguese  0.000616         0.000124  0.000175         0.000146  0.000176  0.000135
168  2008               Spanish  0.000612         0.000124  0.000176         0.000145  0.000176  0.000134
169  2008               Swedish  0.000622         0.000123  0.000175         0.000144  0.000176  0.000133
170  2009               Arapaho  0.000654         0.000121  0.000174         0.000145  0.000175  0.000136
171  2009                  Caló  0.000593         0.000125  0.000177         0.000145  0.000175  0.000133
172  2009               Catalan  0.000591         0.000126  0.000177         0.000147  0.000176  0.000136
173  2009               Chinese  0.000616         0.000124  0.000176         0.000144  0.000176  0.000134
174  2009                 Czech  0.000662         0.000118  0.000174         0.000143  0.000174  0.000128
175  2009                Danish  0.000630         0.000121  0.000176         0.000143  0.000176  0.000130
176  2009                 Dutch  0.000644         0.000121  0.000174         0.000145  0.000177  0.000133
177  2009               English  0.000721         0.000128  0.000220         0.000156  0.000199  0.000171
178  2009             Esperanto  0.000609         0.000124  0.000175         0.000145  0.000175  0.000134
179  2009               Finnish  0.000629         0.000123  0.000176         0.000145  0.000176  0.000134
180  2009                French  0.000598         0.000126  0.000175         0.000146  0.000177  0.000136
181  2009              Friulian  0.000603         0.000124  0.000175         0.000145  0.000175  0.000133
182  2009      Gaelic, Scottish  0.000631         0.000122  0.000177         0.000144  0.000176  0.000132
183  2009                German  0.000688         0.000119  0.000176         0.000144  0.000177  0.000132
184  2009                 Greek  0.000577         0.000129  0.000181         0.000146  0.000177  0.000139
185  2009             Hungarian  0.000714         0.000118  0.000195         0.000142  0.000174  0.000125
186  2009               Italian  0.000612         0.000124  0.000175         0.000145  0.000176  0.000133
187  2009                 Latin  0.000601         0.000125  0.000175         0.000146  0.000177  0.000137
188  2009             Norwegian  0.000651         0.000121  0.000178         0.000142  0.000174  0.000132
189  2009                Polish  0.000641         0.000121  0.000175         0.000145  0.000175  0.000132
